Symbol,ROE,DebtToEquity,EPS,BookValuePerShare,CurrentRatio,NetProfitMargin,Segment,DilutedEPS,RevenueCr,NetProfitCr,OperatingMargin,ROA,TotalDebtCr,EquityCr,TotalAssetsCr,CashCr,SharesOutstandingCr,EffectiveTaxRate
ESSENTIA,0.19,0.2566,0.0,1.59,2.99,0.07,,0.0,473.62,0.32,,0.13,43.61,169.92,250.02,0.04,106.7691,
ESTER,-3.51,0.9314,-2.82,80.21,1.44,-2.0,,-2.82,1375.19,-27.47,,-1.64,729.01,782.73,1673.86,1.17,9.7586,
ETERNAL,7.16,0.0,2.91,40.32,5.13,24.36,The Company has multiple segment. The Company publishes their statement of standalone financial results along with the statement of consolidated financial results. In accordance with Ind AS 108| ‘Operating Segments’| the Company has disclosed the segment information in the consolidated financial results and hence have selected here single segment for the purpose of this  reporting.,2.86,10899.0,2655.0,,6.74,,37056.0,39405.0,706.0,919.0,
ETHOSLTD,5.78,0.0001,36.21,622.02,5.62,5.96,Watches,36.21,1612.24,96.14,,4.38,0.13,1664.38,2197.19,144.08,2.6758,
EUREKAFORB,3.54,0.0,8.36,237.76,1.07,6.0,Health| Hygiene & Safety products and its services,8.36,2709.06,162.62,,2.41,,4600.37,6735.09,125.86,19.3492,
EUROBOND,16.59,0.9655,10.84,65.34,1.41,5.28,Aluminum Composite Panel,10.84,503.2,26.56,,6.85,154.56,160.08,387.56,0.51,2.45,
EUROPRATIK,24.06,0.0361,7.54,31.37,4.76,23.04,WALL PANELS AND LAMINATES,7.54,334.96,77.16,,19.45,11.57,320.64,396.72,16.41,10.22,
EUROTEXIND,2.95,-1.3254,-0.91,-30.81,0.13,-733.98,,-0.91,0.11,-0.79,,-2.56,35.7,-26.93,31.07,0.07,0.874,
EVEREADY,27.67,0.2899,23.56,85.14,1.31,11.77,Consumer Goods,23.56,1454.61,171.23,,14.16,179.37,618.81,1209.44,0.9,7.268,
EVERESTIND,-20.56,0.2602,-64.2,311.88,1.18,-7.18,,-64.2,1417.0,-101.69,,-8.4,128.65,494.51,1210.55,44.71,1.5856,
EXCEL,0.54,0.0044,0.01,1.24,54.99,12.87,,0.01,7.3,0.94,,0.53,0.78,175.35,178.29,3.44,141.0695,
EXCELINDUS,4.44,0.0001,60.19,1354.75,2.49,6.91,Chemical Segment,60.19,1094.52,75.67,,3.59,0.09,1703.01,2105.32,13.08,1.2571,
EXCELSOFT,7.5,0.0,4.12,50.25,7.59,15.92,,4.12,272.52,43.38,,6.4,,578.33,678.22,64.87,11.5084,
EXICOM,-42.09,0.6787,-20.36,46.83,1.21,-23.8,,-20.36,1151.73,-274.13,,-13.78,442.03,651.29,1988.88,35.39,13.908,
EXIDEIND,6.17,0.0785,10.05,163.9,1.23,4.78,"Storage Batteries and Allied Product""",10.05,17995.35,859.92,,4.05,1093.15,13931.22,21219.88,250.81,85.0,
EXPLEOSOL,15.97,0.0,79.89,500.2,5.55,11.19,Software Validation and Verification Services| Software Development and Engineering consultancy services,79.89,1107.96,123.98,,13.35,,776.31,928.83,354.25,1.552,
EXXARO,1.01,0.3229,0.06,6.25,1.7,0.93,Ceramic Tiles Product,0.06,304.9,2.83,,0.58,90.31,279.71,488.04,1.9,44.7411,
FABTECH,9.14,0.1018,10.0,94.43,2.5,9.34,,10.0,410.77,38.36,,5.87,42.73,419.77,653.7,86.88,4.4451,
FACT,-2.93,0.0342,0.61,20.87,0.93,-0.69,,0.61,5723.76,-39.6,,-0.66,3985.45,1350.33,5967.04,168.93,64.707,
FAIRCHEMOR,2.11,0.0032,4.28,208.83,1.66,1.21,Speciality Chemicals,4.28,459.65,5.54,,1.42,83.78,263.04,390.98,0.01,1.2596,
FAZE3Q,7.42,0.5969,13.8,185.98,1.26,3.64,Manufacturing of Home Textile Products,13.8,923.07,33.57,,4.1,269.96,452.3,818.99,13.13,2.432,
FCL,13.3,0.0087,1.09,8.07,2.77,16.19,Textile specialty chemicals,1.09,772.23,125.02,,10.78,8.2,939.73,1159.22,37.26,116.4501,
FCONSUMER,,,-0.16,,,-9.45,"The Company is engaged in the business of manufacturing| processing and selling and Distribution of ""Consumer Products"" which constitutes a single reporting segment.",-0.16,334.93,-31.63,,,,,,,199.7035,
FCSSOFT,0.61,0.0,0.01,2.51,3.09,4.5,,0.01,58.15,2.62,,0.57,,429.0,458.96,43.27,170.9553,
FDC,11.32,0.0,17.29,152.64,3.11,12.96,Pharmaceutical,17.29,2170.93,281.42,,9.64,,2485.11,2918.97,48.68,16.281,
FEDDERELEC,,,142.42,,,32.22,NA,142.42,210.5,67.83,,,,,,,3.0,
FEDERALBNK,,,,,,,,,,,,,,,402080.8,,246.43,
FEDFINA,11.74,0.0461,9.2,78.19,,15.45,FEDBANK FINANCIAL SERVICES LIMITED,9.12,2223.6,343.6,,2.04,,2926.1,16874.78,1339.73,37.421,
FIBERWEB,5.37,0.0645,3.48,,8.67,11.84,Polymer Processing,3.48,84.56,10.01,,4.88,12.02,186.36,205.07,0.36,,
FIEMIND,21.04,0.0,97.11,461.64,2.61,9.08,,97.11,2815.61,255.58,,15.03,,1215.01,1700.54,279.41,2.632,
FILATEX,12.18,0.085,4.13,33.88,1.43,4.4,The Group's primary business segment is reflected based on principal business activities carried on by the Group as per Indian Accounting Standard 108| Operating Segments| as notified under the Companies (Indian Accounting Standards) Rules| 2015| the Group operates in one reportable segment i.e. manufacturing and trading of polyester goods.,4.13,4160.52,183.24,,7.42,127.91,1504.76,2470.38,2.76,44.41,
FILATFASH,0.12,0.0229,0.0,2.78,1.77,2.45,Manufacturing of Stocks,0.0,115.44,2.83,,0.11,52.91,2314.85,2546.2,2.58,833.4073,
FINCABLES,11.73,0.0031,46.67,397.9,8.42,11.29,,46.67,6321.01,713.72,,10.21,19.14,6085.88,6989.96,163.13,15.295,
FINEORG,15.65,0.0169,136.03,869.06,8.49,17.63,Manufacturing of Specialty Chemicals,136.03,2365.8,417.07,,13.91,44.94,2664.52,2998.81,188.33,3.066,
FINKURVE,7.55,0.0,1.89,24.63,,12.56,Non Banking Financial Company,1.86,207.22,26.03,,2.11,,344.9,1233.04,102.12,14.005,
FINOPB,,,,,,,,,,,,,,,5311.9,,8.322,
FINPIPE,9.64,0.0704,9.69,100.5,3.54,14.56,Pipes & Fittings,9.69,4113.43,599.05,,7.89,437.32,6214.71,7595.57,31.4,61.835,
FIRSTCRY,1.72,0.0,2.09,121.59,5.65,3.99,Baby and Maternity products,2.09,2731.59,108.93,,1.5,,6347.48,7274.02,75.66,52.2045,
FISCHER,8.05,0.1879,0.48,5.88,1.62,10.05,Healthcare Equipment and supplies,0.45,308.58,31.02,,4.62,72.36,385.14,671.01,11.89,65.4515,
FIVESTAR,14.89,0.0,37.31,0.0,,34.14,Financial Services,37.25,3218.12,1098.75,,6.96,,7380.15,15789.74,1617.9,2951752.78,
FLAIR,12.37,0.0326,13.26,108.41,5.22,11.31,Writing Instruments,13.26,1250.11,141.35,,10.34,37.21,1142.55,1366.53,11.3,10.5395,
FLEXITUFF,102.76,-2.0404,-41.15,-40.05,0.24,-804.02,NA,-41.15,16.8,-135.08,,-41.67,268.21,-131.45,324.14,1.42,3.2823,
FLUOROCHEM,7.25,0.2779,52.26,719.36,1.72,11.49,,52.26,4996.0,574.0,,4.83,2199.0,7913.0,11883.0,215.0,11.0,
FMGOETZE,11.74,0.0,30.68,272.62,2.98,9.09,Automotive Industry,30.68,1958.4,178.0,,8.85,,1516.66,2011.78,829.26,5.5632,
FMNL,6.83,0.7005,1.3,17.56,0.94,7.75,Property and Related Services,1.18,98.54,7.64,,2.37,78.29,111.77,322.13,5.03,6.3644,
FOCUS,4.22,0.1569,0.76,18.08,2.01,2.85,The Company is primarily engaged in direct and contract manufacturing and accordingly the Company has only one reportable segment viz. manufacturing of products and therefore segment details are not provided.,0.75,180.11,5.13,,2.75,19.07,121.57,186.89,0.66,6.7229,
FOODSIN,4.89,0.7441,3.79,76.95,1.41,3.19,,3.79,868.02,27.69,,2.13,421.07,565.85,1301.06,1.57,7.3532,
FORCEMOT,28.87,0.0,919.56,3184.23,1.87,13.38,Automobile,919.56,9057.05,1211.75,,18.54,,4196.81,6537.55,830.42,1.318,
FORTIS,10.47,0.0034,13.8,134.69,0.86,11.66,,13.8,9127.84,1064.19,,6.67,2872.65,10168.51,15966.23,406.97,75.496,
FOSECOIND,,,44.86,,,16.59,Metallurgical products and services,44.86,201.88,33.49,,,,,,,0.7537,
FRACTAL,9.0,0.0898,18.22,185.25,3.0,8.69,,17.21,3299.7,286.8,,6.51,286.0,3186.3,4407.1,206.7,17.2,
FSL,15.38,0.4418,9.77,62.91,0.79,7.06,,9.56,9556.39,674.41,,7.24,1937.47,4384.93,9320.04,258.58,69.6991,
FUSION,0.56,0.0227,1.01,152.05,,0.82,Financial and Other related activities,1.01,1698.53,13.85,,0.17,,2455.93,8294.8,1874.84,16.152,
GABRIEL,18.12,0.1064,17.55,96.9,1.66,5.4,Auto components and parts,17.55,4666.93,252.16,,10.38,148.12,1391.82,2429.56,113.55,14.364,
GAEL,9.23,0.1316,6.63,71.83,3.18,5.31,,6.63,5728.6,304.28,,7.32,433.58,3294.99,4159.54,5.0,45.87,
GAIL,8.49,0.2236,11.53,135.8,0.85,5.34,,11.53,142094.3,7581.52,,5.39,19964.21,89291.66,140536.59,959.23,657.51,
GALAPREC,12.13,0.125,27.85,228.51,3.46,11.29,Springs| fasterners & Assemblies,27.05,314.3,35.48,,9.47,36.56,292.49,374.47,11.45,1.28,
GALAXYSURF,9.74,0.0599,75.41,774.28,2.42,5.09,Manufacturing of Chemicals,75.34,5248.28,267.38,,6.9,164.49,2744.83,3874.18,109.12,3.545,
GALLANTT,14.6,0.1652,20.07,137.44,2.95,10.96,TMT,20.07,4418.92,484.27,,11.34,547.69,3316.23,4269.62,101.65,24.1281,
GAMMONIND,8.86,-0.0052,-31.42,-356.57,0.01,-1238.73,Construction & Engineering,-31.42,94.48,-1170.35,,-102.64,68.18,-13212.57,1140.29,3.51,37.055,
GANDHAR,9.81,0.0012,13.83,142.96,2.61,3.24,petroleum products  specialty oils,13.83,4241.18,137.25,,6.17,168.46,1399.62,2225.23,28.16,9.79,
GANDHITUBE,21.64,0.0,56.26,260.0,6.11,35.65,METAL STEEL TUBE,56.26,191.77,68.36,,20.1,,315.95,340.05,5.17,1.2152,
GANECOS,3.0,0.3885,14.5,476.07,2.62,2.58,The Group is engaged in the manufacturing of the products of same type/ class and as such there are no reportable segments as per Ind-AS 108: 'Operating Segments'|,14.48,1481.66,38.21,,1.91,495.61,1275.67,2003.38,119.72,2.6796,
GANESHBE,10.38,0.0396,8.52,82.06,1.54,23.59,,8.52,259.96,61.33,,7.72,23.41,590.75,794.3,2.09,7.199,
GANESHCP,11.44,0.0002,11.04,92.88,4.24,4.86,Food and Allied Products,11.04,871.41,42.39,,9.4,8.28,370.47,450.93,72.54,3.9888,
GANESHHOU,13.57,0.1308,37.93,279.56,5.5,61.84,REAL ESTATE DEVELOPMENT,37.93,511.37,316.26,,11.19,304.88,2331.16,2826.07,7.36,8.3387,
GANGAFORGE,-12.82,0.7054,-0.27,2.11,1.38,-10.26,Manufacturing of closed die forged products,-0.27,35.62,-3.65,,-6.04,20.11,28.5,60.49,0.12,13.4802,
GANGESSECU,0.5,0.0,2.69,539.67,,7.4,,2.69,36.37,2.69,,0.46,,539.87,580.8,1.0,1.0004,
GANGOTRI,0.03,-1.0395,-0.03,-11.1,0.0,,TEXTILES,-0.03,0.0,-0.07,,-0.44,246.18,-236.84,15.2,0.0,21.3455,
GARFIBRES,14.67,0.0298,20.01,135442.4,2.74,13.0,,20.01,1528.79,198.67,,10.57,40.3,1354.42,1878.75,98.66,0.01,
GARUDA,26.97,0.0265,13.17,,2.84,23.09,Construction Activity,13.17,530.72,122.54,,19.13,12.04,454.32,640.61,8.03,,
GATECH,7.99,0.0,0.07,0.83,1.43,39.31,Consultancy| Financial and Technology services,0.07,21.87,8.6,,6.51,,107.61,132.0,1.3,129.2408,
GATECHDVR,7.99,0.0,0.07,0.83,1.43,39.31,Consultancy| Financial and Technology services,0.07,21.87,8.6,,6.51,,107.61,132.0,1.3,129.2408,
GATEWAY,10.19,0.1147,5.12,50.96,1.04,11.73,,5.12,2211.82,259.36,,7.36,292.06,2546.25,3521.94,18.92,49.9644,
GAUDIUMIVF,16.06,0.1515,3.92,20.92,1.9,23.44,Health Care Business,3.92,104.36,24.46,,12.67,23.07,152.3,193.1,8.79,7.2787,
GAYAHWS,0.2,-0.6441,-0.05,-26.17,1.09,-8.42,Construction| invest| operations and maintenance of roads| highways| vehicle bridges and tunnels and toll roads on BOT| BOOT| BOLT| EPC basis or in any manner,-0.05,14.55,-1.22,,-0.12,403.92,-627.12,990.44,17.44,23.9652,
GAYAPROJ,353.53,1.9403,109.35,30.93,1.55,241.7,Construction activity,109.35,846.89,2046.95,,88.5,1123.45,579.0,2312.95,22.45,18.7199,
GBGLOBAL,17.54,0.155,15.64,89.19,1.9,55.11,,15.64,142.03,78.27,,8.03,69.18,446.25,974.71,105.6,5.0033,
GCSL,8.76,0.0316,11.89,140.85,7.09,15.64,Merchant Banking,11.89,178.52,27.93,,8.11,10.08,318.88,344.31,0.79,2.2639,
GEECEE,5.03,0.0,20.12,400.18,1.78,56.24,,20.12,74.81,42.07,,2.97,,836.84,1414.49,218.88,2.0912,
GEEKAYWIRE,17.54,0.8399,2.88,32.85,2.16,6.83,,2.88,440.81,30.11,,8.61,144.2,171.69,349.64,1.99,5.226,
GEMAROMA,5.61,0.1848,5.33,91.07,2.45,7.2,Manufacturing and sale of speciality ingredients| including essential oils| aroma chemicals and value added derivatives,5.33,370.94,26.71,,4.55,87.89,475.71,587.51,6.71,5.2235,
GENCON,2.9,0.2099,1.5,51.42,1.79,2.79,,1.5,305.37,8.51,,1.64,61.51,293.0,518.02,4.33,5.6986,
GENESYS,2.74,0.2137,4.95,179.34,2.37,7.54,Geographical information system,4.95,272.3,20.54,,2.03,160.17,749.46,1011.99,8.21,4.179,
GENUSPAPER,2.88,0.8685,0.57,19.7,1.26,1.55,,0.57,939.97,14.58,,1.27,440.01,506.64,1145.68,0.07,25.7126,
GENUSPOWER,26.71,1.037,21.42,80.15,1.75,12.47,POWER,21.29,4750.92,592.3,,9.34,2299.65,2217.64,6343.06,259.83,27.67,
GEOJITFSL,6.45,0.0,2.88,46.4,,12.45,,2.88,671.08,83.58,,3.92,,1295.16,2134.0,152.88,27.9122,
GESHIP,17.35,0.0006,206.11,1188.1,7.08,54.4,,205.69,5409.09,2942.52,,15.12,1049.37,16962.49,19460.16,4336.9,14.277,
GFLLIMITED,1.76,0.0,4.1,233.37,,1223.19,Others,4.1,3.68,45.02,,1.64,,2564.72,2736.75,0.34,10.99,
GFSTEELS,-3.32,-1.2455,0.06,-1.79,1.11,1.72,Bright Steel Bars,0.06,10.53,0.18,,1.36,6.79,-5.45,13.37,0.1,3.043,
GHCL,13.3,0.0175,50.17,386.37,4.38,15.42,Soda Ash,50.15,3064.21,472.46,,10.99,62.13,3551.89,4299.71,44.12,9.193,
GHCLTEXTIL,4.68,0.0893,7.36,157.16,2.79,5.34,textiles,7.36,1318.6,70.37,,3.76,134.22,1502.49,1870.43,0.69,9.56,
GICHSGFIN,7.35,0.043,28.75,391.16,,14.31,Housing Finance,28.75,1082.23,154.82,,1.37,,2106.4,11298.98,40.06,5.385,
GICL,8.02,0.0018,1.4,7205.2,2.6,4.71,LOGISTICS,1.4,163.39,7.69,,5.5,30.14,95.81,139.89,1.38,0.0133,
GICRE,,,,,0.6,,,,,,,,,,92044.5,,,
GILLANDERS,3.67,0.5761,4.43,120.86,1.05,2.2,,4.43,430.87,9.47,,1.71,148.6,257.94,552.9,2.87,2.1342,
GILLETTE,69.13,0.0,200.8,290.41,1.54,21.11,,200.8,3099.53,654.31,,34.96,,946.43,1871.47,266.82,3.259,
GINNIFILA,15.72,0.0014,4.32,27.5,2.69,10.05,,4.32,368.7,37.04,,11.27,33.03,235.56,328.65,0.25,8.565,
GIPCL,10.48,0.8795,25.93,247.41,0.89,26.99,POWER,25.93,1491.12,402.41,,4.27,3377.58,3840.24,9426.0,261.13,15.5216,
GKENERGY,23.02,0.2315,10.9,43.77,2.95,11.91,,10.9,1715.28,204.3,,15.65,205.5,887.64,1305.27,335.48,20.2815,
GKSL,4.02,0.005,1.59,31.26,4.33,24.69,HEALTHCARE SERVICE,1.59,40.1,9.9,,3.72,15.74,246.46,266.08,7.42,7.8843,
GKWLIMITED,-0.09,0.0,-3.87,4391.46,14.0,-7.19,,-3.87,32.09,-2.31,,-0.07,,2620.16,3231.65,6.79,0.5967,
GLAND,9.92,0.0235,62.35,628.67,4.68,15.98,Pharmaceuticals,62.28,6430.65,1027.32,,8.21,243.36,10357.95,12510.85,3359.11,16.476,
GLAXO,45.34,0.0,54.52,134.86,2.13,27.11,Pharmaceuticals,54.76,3821.67,1035.98,,23.96,,2284.69,4323.87,1102.05,16.941,
GLENMARK,-0.83,0.0,-7.12,855.79,1.66,-2.38,PHARMACEUTICALS,-7.11,8440.1,-200.8,,-0.68,,24150.32,29485.18,291.83,28.22,
GLFL,-1.17,-2.4786,0.02,-1.49,13.61,,"As the Company do not have any operations| there are no reportable segment in accordance with the requirement of Ind AS 108 ""Operating Segment"" specified under Section",0.02,0.0,0.05,,0.73,10.0,-4.03,6.42,5.98,2.7126,
GLOBAL,20.19,0.0,5.21,25.79,6.48,28.23,,5.21,93.85,26.5,,18.87,,131.25,140.45,0.01,5.0902,
GLOBALE,-14.59,0.0162,-1.32,9.03,1.57,-9.69,Traditional Textiles Division,-1.32,14.44,-1.4,,-5.57,10.31,9.59,25.13,5.61,1.062,
GLOBALVECT,398.47,-12.2834,23.06,-5.79,0.45,-6.19,Providing Helicopter Services,23.06,521.41,-32.29,,-3.64,99.53,-8.1,888.18,1.53,1.4,
GLOBE,6.26,1.1416,0.2,3.24,1.35,1.42,Trading and Manufacturing of Textile items,0.2,642.4,9.15,,2.22,166.75,146.07,411.69,0.3,45.0419,
GLOBECIVIL,9.79,0.6307,4.18,39.83,1.67,5.74,Engineering| Procurement & Construction,4.18,405.71,23.3,,4.31,150.03,237.87,540.63,7.95,5.9719,
GLOBUSSPR,8.36,0.4729,31.7,374.72,1.01,2.52,Manufacturing and marketing of Alcoholic Beverages,31.65,3612.78,91.05,,4.05,515.08,1089.24,2248.51,10.41,2.9068,
GLOSTERLTD,1.67,0.8253,16.57,994.82,1.23,1.27,,16.57,1426.73,18.14,,0.72,898.51,1088.66,2510.86,6.01,1.0943,
GLOTTIS,13.41,0.0018,4.37,30.4,3.81,5.21,Freight Forwarding Services,4.37,722.59,37.68,,10.26,49.71,280.94,367.04,9.51,9.2403,
GMBREW,,,16.52,,,4.7,MANUFACTURING OF COUNTRY LIQUOR,16.52,802.9,37.74,,,,,,,2.285,
GMDCLTD,13.53,0.0004,30.08,222.41,4.14,36.05,,30.08,2653.38,956.67,,10.65,308.55,7072.74,8982.98,94.31,31.8,
GMMPFAUDLR,4.2,0.6773,12.86,274.3,1.6,1.47,,12.86,3523.94,51.82,,1.29,835.06,1232.99,4023.55,635.38,4.495,
GMRAIRPORT,-30.49,-27.2377,0.17,-1.47,0.77,3.19,Airports,0.13,14807.41,472.39,,0.86,42195.88,-1549.17,54764.27,610.24,1055.9,
GMRP&UI,29.1,5.4553,8.26,27.0,1.42,8.37,,8.2,7331.86,613.69,,3.6,11503.24,2108.63,17049.92,560.47,78.102,
GNA,11.65,0.1831,27.24,233.89,2.37,7.91,AUTO COMPONENTS,27.24,1478.42,116.95,,7.69,183.88,1004.11,1520.21,0.51,4.2931,
GNFC,8.87,0.0,54.22,610.95,5.91,10.25,,54.22,7773.0,797.0,,7.1,,8981.0,11225.0,74.0,14.7,
GOACARBON,-28.6,0.9927,-52.71,184.27,1.62,-6.93,Manufacture and Sale of Calcined Petroleum Coke,-52.71,696.42,-48.23,,-13.03,167.4,168.63,370.11,39.52,0.9151,
GOCLCORP,66.51,0.0,291.66,438.51,7.69,14809.29,Single segment,0.0,9.76,1445.85,,55.94,,2173.81,2584.51,1.14,4.9573,
GOCOLORS,8.57,0.0,10.97,131.24,3.42,7.06,RETAILING OF WOMEN BOTTOM WEAR,10.97,838.01,59.18,,4.57,,690.29,1295.64,13.09,5.2596,
GODAVARIB,0.45,0.6724,0.69,154.03,1.13,0.18,,0.69,1987.94,3.53,,0.17,530.08,788.29,2052.25,15.25,5.1176,
GODFRYPHLP,24.54,0.0152,97.84,398.66,2.44,16.73,,97.84,9120.94,1526.02,,18.36,94.72,6219.08,8310.38,3.29,15.6,
GODIGIT,,,,,0.13,,,,,,,,,,5035.88,,,
GODREJAGRO,20.58,0.0068,24.58,112.5,0.94,4.35,,24.57,10232.68,445.18,,7.22,1468.43,2163.66,6170.19,298.61,19.233,
GODREJCP,19.32,0.0036,14.81,76.67,0.62,16.0,Single segment,14.81,9474.3,1515.61,,11.34,2800.18,7844.57,13365.06,63.24,102.32,
GODREJIND,3.45,0.0623,1.81,52.53,0.36,1.27,"The Company has presented segment information in the Consolidated financial statement which are presented in the same financial report. Accordingly| in terms of Ind AS 108 ""Operating Segments""| no disclosures related to segments are presented in Standalone financial statements.",1.81,4809.15,61.02,,0.43,11014.67,1769.26,14235.81,75.45,33.68,
GODREJPROP,9.51,0.0033,61.43,642.59,1.27,35.87,Real Estate Development,61.42,5131.43,1840.66,,2.25,15614.87,19354.89,81894.43,1860.74,30.12,
GOENKA,-0.44,0.7812,-0.03,7.33,1.41,-47.78,,-0.03,2.14,-1.02,,-0.13,181.59,232.43,791.64,0.85,31.7,
GOKEX,8.64,0.1272,27.93,322.37,1.83,7.57,Manufacture and sale of garments,26.7,2693.05,203.93,,5.81,300.41,2361.27,3512.9,104.51,7.3247,
GOKUL,5.08,1.0532,1.87,36.71,1.37,0.45,The Company is primarily engaged in business of Agro based commodity which constitute a single Reportable Segment.,1.87,4120.48,18.48,,2.03,382.74,363.4,910.49,60.31,9.8995,
GOKULAGRO,27.02,0.3703,10.76,39.82,1.17,1.44,Agro Based Commodities,10.76,22121.49,317.48,,6.96,435.07,1174.99,4559.77,120.54,29.5087,
GOLDIAM,15.35,0.029,15.11,98.4,5.94,17.46,,15.43,976.86,170.59,,12.52,32.2,1111.11,1362.58,262.92,11.2918,
GOLDTECH,0.32,0.2348,0.2,59.66,1.18,0.75,,0.2,135.03,1.01,,0.23,73.2,311.81,446.98,10.53,5.2262,
GOODLUCK,11.94,0.7323,56.07,459.89,1.38,4.45,IRON & STEEL PRODUCT,56.07,4100.28,182.58,,5.99,1119.45,1528.61,3046.18,0.84,3.3239,
GOPAL,15.38,0.0032,5.91,38.41,1.61,4.88,Manufacturer of Snacks and packed food items,5.91,1508.23,73.65,,10.31,153.85,478.8,714.71,0.24,12.465,
GOYALALUM,12.15,0.4213,0.22,1.78,1.87,4.08,The Company is primarily engaged in the trading of aluminium hardware and allied products that comes under single operating segment. The organisational structure of the company and its internal financial reporting system normally does not separately identify the predominant sources of risks and returns within its products for the purpose of its segment reporting. Basis on above| the management has concluded that no separate segment disclosures are required under IND AS 108.,0.22,75.55,3.08,,6.73,10.69,25.37,45.8,0.04,14.2733,
GPIL,13.71,0.073,13.05,95.06,3.04,14.9,STEEL,12.58,5380.65,801.74,,10.99,426.69,5849.01,7296.15,306.16,61.53,
GPPL,23.22,0.0,10.35,44.58,2.54,43.19,Port Services,10.35,1158.38,500.36,,18.18,,2155.23,2751.58,9.31,48.344,
GPTHEALTH,15.67,0.0598,5.15,32.84,1.12,8.93,Healthcare Services,5.15,472.55,42.22,,9.08,16.11,269.43,464.75,4.13,8.2055,
GPTINFRA,16.35,0.4976,7.7,46.76,1.59,7.49,,7.7,1289.92,96.64,,7.08,294.02,590.88,1364.95,2.18,12.6365,
GRADIENTE,,,0.04,,,7.71,Media Entertainment,0.04,17.29,1.33,,,,,,,33.24,
GRANULES,11.7,0.2632,24.47,205.21,1.8,11.09,Pharmaceuticals,24.46,5365.64,595.02,,7.71,1338.13,5084.99,7719.95,880.24,24.78,
GRAPHITE,4.69,0.0451,13.54,288.92,3.39,9.39,,13.54,2812.0,264.0,,3.66,254.0,5634.0,7214.0,14.0,19.5,
GRASIM,6.06,0.0132,73.21,2496.0,0.95,5.87,,73.13,175430.74,10300.29,,1.81,224947.82,169865.25,569554.56,2797.89,68.055,
GRAVITA,15.39,0.2979,52.02,333.12,2.91,8.87,,52.02,4265.27,378.33,,11.07,732.32,2458.41,3416.95,80.32,7.38,
GREAVESCOT,2.33,0.2154,4.6,65.01,1.86,1.03,,4.56,3436.62,35.29,,1.22,326.06,1514.02,2893.8,190.93,23.29,
GREENLAM,4.75,0.8876,2.2,46.22,1.22,1.84,,2.2,3046.08,56.02,,1.86,1046.6,1179.08,3004.14,63.86,25.51,
GREENPANEL,-2.15,0.26,-2.38,110.57,1.94,-1.89,,-2.38,1539.37,-29.13,,-1.42,352.59,1355.88,2046.95,46.3,12.2627,
GREENPLY,10.03,0.5463,7.19,71.69,1.29,3.28,,7.18,2739.04,89.78,,4.58,489.15,895.37,1961.65,27.49,12.4902,
GREENPOWER,6.2,0.436,0.59,9.84,2.07,24.43,Generation of power through renewable sources and related services,0.59,292.95,71.57,,4.13,503.39,1154.63,1731.83,65.06,117.303,
GRINDWELL,16.38,0.0239,37.27,227.56,2.79,13.64,,37.27,3025.87,412.6,,12.13,60.13,2519.57,3401.13,72.22,11.072,
GRINFRA,9.61,0.0052,93.31,970.54,3.54,10.75,,93.3,8398.62,902.58,,5.62,4845.41,9391.06,16048.13,983.48,9.6761,
GRMOVER,12.28,0.6043,7.85,29.22,2.01,4.2,,7.85,1769.2,74.34,,6.41,365.94,605.56,1160.15,25.11,20.721,
GROBTEA,6.2,0.57,49.49,798.5,2.34,5.03,SINGLE SEGMENT,49.49,114.38,5.75,,3.52,52.9,92.81,163.23,0.21,0.1162,
GROWW,21.58,0.0232,3.47,15.47,1.64,44.85,App based technology platform,3.4,4644.58,2083.0,,11.23,224.01,9651.35,18540.92,1165.47,623.903,
GRPLTD,1.81,1.1571,6.04,334.44,1.22,0.6,,6.04,535.33,3.22,,0.7,206.39,178.37,461.79,0.47,0.5333,
GRSE,28.48,0.0,65.29,229.25,1.23,10.68,Ship Construction,65.29,7002.16,747.93,,7.03,,2626.12,10636.1,17.27,11.4552,
GRWRHITECH,12.73,0.0,145.59,1143.42,4.43,15.95,POLYESTER FILM,145.59,2120.11,338.23,,11.23,,2656.16,3011.19,126.53,2.323,
GSFC,5.48,0.002,16.88,308.09,4.83,6.15,,16.88,10945.5,673.0,,4.68,25.0,12277.52,14389.55,191.77,39.85,
GSLSU,-11.75,0.6028,-7.18,63.92,1.27,-13.65,,-7.18,233.24,-31.84,,-5.89,163.3,270.89,540.69,3.78,4.2382,
GSPCROP,12.23,0.2938,22.88,157.89,1.55,5.59,Pesticides & Agrochemicals,22.88,1605.91,89.83,,6.07,215.76,734.47,1480.84,153.82,4.6519,
GSPL,,,14.75,,,9.79,Gas transmission and distribution,14.75,12599.52,1232.92,,,,,,,56.4211,
GSS,-16.69,0.4802,-19.27,115.42,2.93,-57.19,,-19.27,88.13,-50.4,,-10.42,144.98,301.89,483.44,7.58,2.6157,
GTECJAINX,-199.11,2.381,-0.91,0.43,1.41,-11.33,INFORMATION TECHNOLOGY,-0.91,7.73,-0.88,,-22.89,1.05,0.44,3.83,0.17,1.0189,
GTL,-10.7,-0.8963,37.03,-346.23,0.02,259.63,Network Services,37.03,224.37,582.55,,440.11,4881.35,-5446.05,132.36,3.05,15.7297,
