Symbol,ROE,DebtToEquity,EPS,BookValuePerShare,CurrentRatio,NetProfitMargin,Segment,DilutedEPS,RevenueCr,NetProfitCr,OperatingMargin,ROA,TotalDebtCr,EquityCr,TotalAssetsCr,CashCr,SharesOutstandingCr,EffectiveTaxRate
BAJAJHCARE,2.96,0.44,4.98,158.34,1.78,2.58,Pharmaceuticals,4.97,611.03,15.77,,1.71,233.46,533.0,923.22,37.24,3.3663,
BAJAJHFL,11.37,0.046,3.07,27.04,,22.97,HFC,3.07,11147.2,2560.34,,2.01,,22522.79,127147.05,161.8,832.866,
BAJAJHIND,3.31,0.93,0.93,1.25,0.55,2.31,,0.86,5454.76,126.14,,0.88,3545.01,3812.0,14303.79,87.13,3048.27,
BAJAJHLDNG,11.88,0.0,865.9,7405.74,,915.21,Investment,865.9,1069.58,9788.92,,11.49,,82418.5,85187.41,11.75,11.129,
BAJAJINDEF,8.7,0.0,7.38,84.03,1.34,11.26,Material Handeling Equipment,7.38,207.69,23.39,,7.04,,268.91,332.23,5.56,3.2,
BAJEL,2.71,0.4681,1.75,64.61,1.2,0.73,EPC,1.74,2791.58,20.28,,0.8,349.96,747.57,2538.46,23.72,11.5697,
BAJFINANCE,16.53,0.0,30.6,188.14,,23.58,NBFC,30.51,81982.38,19332.36,,3.45,,116985.54,559952.36,1896.9,621.79,
BALAJEE,3.53,0.6597,1.35,42.72,2.0,2.15,FIBC,1.35,573.73,12.31,,1.96,229.89,348.47,626.99,0.87,8.1571,
BALAJITELE,-7.99,0.0219,-4.09,50.99,2.6,-23.55,,-4.09,210.83,-49.65,,-5.81,13.63,621.07,853.81,24.69,12.1812,
BALAMINES,7.86,0.0618,51.6,664.09,2.34,11.87,,51.6,1424.98,169.16,,6.17,132.91,2151.72,2742.54,73.93,3.2401,
BALAXI,0.57,0.224,0.26,45.12,4.05,0.52,SPECIALIZED WHOLESALE,0.26,270.17,1.42,,0.42,55.79,249.08,337.03,14.56,5.5207,
BALKRISHNA,3.71,-0.9465,-2.02,-54.45,0.08,-137.7,,-2.02,4.73,-6.52,,-36.5,166.05,-175.44,17.85,0.19,3.222,
BALKRISIND,11.35,0.0037,64.3,566.75,1.01,11.49,Manufacturing of Pneumatic Tyres,64.3,10823.08,1243.1,,7.0,4105.56,10955.29,17766.34,60.92,19.33,
BALLARPUR,-97.65,7.628,-52.58,53.89,0.22,-376.03,Paper and Paper Products,-52.58,76.97,-289.44,,-3.75,2260.96,296.4,7722.39,2.81,5.5,
BALMLAWRIE,12.98,0.036,16.18,121.82,2.13,9.95,,16.18,2717.0,270.32,,8.07,74.89,2083.17,3349.35,33.75,17.1004,
BALPHARMA,7.69,1.9394,3.95,51.66,1.05,2.03,PHARMACEUTICLES,3.95,311.66,6.32,,1.68,159.52,82.25,375.54,2.3,1.5921,
BALRAMCHIN,8.92,0.8142,17.19,192.74,1.13,5.54,,17.06,6271.15,347.22,,4.28,3169.35,3892.47,8119.71,0.44,20.195,
BALUFORGE,11.19,0.0925,13.38,112.84,2.93,23.66,Industrial Machinery,13.38,647.42,153.21,,9.5,126.72,1369.73,1612.99,84.48,12.1392,
BANARBEADS,3.08,0.3561,2.69,87.38,2.67,6.96,GLASS BEADS HANDI CRAFT AND OTHER RELATED ITEMS,2.69,25.49,1.77,,2.2,20.53,57.65,80.54,0.39,0.6597,
BANARISUG,7.73,0.0046,117.96,1525.87,7.83,7.72,,117.96,1916.67,147.92,,6.86,8.74,1913.4,2157.18,13.39,1.254,
BANCOINDIA,28.6,0.2539,33.68,117.74,2.2,12.36,Auto Parts and Equipments,33.68,3896.38,481.68,,15.75,427.73,1684.32,3058.02,30.75,14.305,
BANDHANBNK,,,,,,,,,,,,,,,211123.73,,161.0972,
BANG,6.37,0.4421,4.39,68.9,1.91,2.66,Textile,0.0,223.94,5.95,,3.13,41.31,93.42,189.92,0.34,1.356,
BANKA,0.92,0.9242,0.32,38.98,1.58,0.69,Human Waste Disposal Management,0.32,57.09,0.39,,0.39,39.35,42.58,100.71,10.21,1.0922,
BANKBARODA,,,,,,,,,,,,,,,2101501.85,,517.765,
BANKINDIA,,,,,,,,,,,,,,,1179551.59,,455.341,
BANSALWIRE,11.25,0.386,10.28,91.38,1.64,3.87,Steel Wire Manufacturing,10.28,4159.79,160.94,,6.39,552.21,1430.67,2516.85,2.1,15.6556,
BANSWRAS,5.33,0.8098,9.11,170.86,1.39,2.3,TEXTILE,9.11,1356.28,31.2,,2.45,473.65,584.9,1272.2,1.6,3.4232,
BASF,10.62,0.0,97.1,914.17,1.68,2.81,,97.1,14944.0,420.1,,4.98,,3957.46,8435.64,868.9,4.329,
BASML,2.9,0.8368,1.76,59.26,1.06,1.58,Textiles,1.76,870.32,13.75,,1.4,396.34,473.62,984.16,2.81,7.9921,
BATAINDIA,8.42,0.0,10.39,123.39,1.71,3.8,Footwear and Accessories,10.39,3515.48,133.56,,3.54,,1585.85,3768.6,8.98,12.8528,
BBL,5.92,0.1484,106.24,1795.34,1.46,5.28,,106.24,2273.8,120.09,,3.86,301.0,2028.73,3111.82,8.14,1.13,
BBOX,16.9,0.6426,12.78,72.5,1.83,3.44,,12.67,6321.85,217.52,,5.07,826.95,1286.91,4293.7,527.61,17.75,
BBTC,26.04,0.0017,178.1,1376.09,1.19,12.79,,178.1,19538.62,2499.25,,17.19,1555.69,9598.21,14538.68,704.06,6.975,
BBTCL,15.13,0.0177,10.06,63.45,1.16,3.2,Packaging,10.06,616.35,19.7,,4.48,230.8,130.15,439.38,0.59,2.0511,
BCG,9.1,0.0,9.52,52.37,6.71,13.89,,9.52,6928.06,962.33,,8.03,,10571.0,11989.48,1414.98,201.8522,
BCLIND,13.29,0.5974,3.9,32.22,2.01,4.35,,3.9,2903.81,126.44,,7.67,568.12,951.06,1647.77,138.22,29.5163,
BCONCEPTS,1.17,1.6307,0.78,66.54,1.14,0.28,Travel Gear| Backpacks & Related Accessories,0.77,348.07,0.97,,0.27,135.44,83.06,362.45,0.11,1.2482,
BCPL,6.11,0.2556,3.6,58.97,2.19,7.38,,3.6,81.62,6.03,,4.45,25.2,98.63,135.39,5.57,1.6724,
BDL,9.91,0.0,11.47,115.7,2.01,17.21,Manufacture of Weapons systems,11.47,2441.79,420.34,,2.95,,4240.97,14261.5,863.31,36.6562,
