Symbol,Category
NIACL,SmallCap
GODIGIT,SmallCap
SYNGENE,SmallCap
APOLLOTYRE,SmallCap
IKS,SmallCap
DEEPAKNTR,SmallCap
IGL,SmallCap
AEGISVOPAK,SmallCap
AEGISLOG,SmallCap
POONAWALLA,SmallCap
BRIGADE,SmallCap
NBCC,SmallCap
JBCHEPHARM,SmallCap
GLAND,SmallCap
PSB,SmallCap
SUMICHEM,SmallCap
EMAMILTD,SmallCap
OLAELEC,SmallCap
JYOTICNC,SmallCap
BANDHANBNK,SmallCap
ASTERDM,SmallCap
KIMS,SmallCap
FSL,SmallCap
SUNTV,SmallCap
MSUMI,SmallCap
PNBHOUSING,SmallCap
STARHEALTH,SmallCap
POLYMED,SmallCap
PGEL,SmallCap
ABREL,SmallCap
MRPL,SmallCap
DELHIVERY,SmallCap
PEL,SmallCap
ZFCVINDIA,SmallCap
HSCL,SmallCap
WOCKPHARMA,SmallCap
JSWHL,SmallCap
CHAMBLFERT,SmallCap
EIHOTEL,SmallCap
SHYAMMETL,SmallCap
LALPATHLAB,SmallCap
AFFLE,SmallCap
ANGELONE,SmallCap
TATACHEM,SmallCap
CROMPTON,SmallCap
HINDCOPPER,SmallCap
GRSE,SmallCap
NUVAMA,SmallCap
AMBER,SmallCap
RAMCOCEM,SmallCap
INOXWIND,SmallCap
EMCURE,SmallCap
KEC,SmallCap
PFIZER,SmallCap
TIMKEN,SmallCap
MANYAVAR,SmallCap
WELCORP,SmallCap
FIVESTAR,SmallCap
HATSUN,SmallCap
PTCIL,SmallCap
FIRSTCRY,SmallCap
SAGILITY,SmallCap
NAVINFLUOR,SmallCap
DEVYANI,SmallCap
SUNDRMFAST,SmallCap
CESC,SmallCap
SKFINDIA,SmallCap
BASF,SmallCap
CASTROLIND,SmallCap
ASTRAZEN,SmallCap
ABSLAMC,SmallCap
KANSAINER,SmallCap
CARBORUNIV,SmallCap
ANANTRAJ,SmallCap
TVSHLTD,SmallCap
RATNAMANI,SmallCap
KFINTECH,SmallCap
ERIS,SmallCap
CAMS,SmallCap
REDINGTON,SmallCap
ABLBL,SmallCap
CONCORDBIO,SmallCap
GRINDWELL,SmallCap
ATUL,SmallCap
ARE&M,SmallCap
MANAPPURAM,SmallCap
TRITURBINE,SmallCap
AADHARHFC,SmallCap
ONESOURCE,SmallCap
CHALET,SmallCap
GSPL,SmallCap
APLLTD,SmallCap
RPOWER,SmallCap
KPIL,SmallCap
IGIL,SmallCap
KARURVYSYA,SmallCap
VINATIORGA,SmallCap
ZENSARTECH,SmallCap
KIOCL,SmallCap
BIKAJI,SmallCap
LMW,SmallCap
NATCOPHARM,SmallCap
IRCON,SmallCap
CENTURYPLY,SmallCap
AFCONS,SmallCap
CREDITACC,SmallCap
VENTIVE,SmallCap
DCMSHRIRAM,SmallCap
ASAHIINDIA,SmallCap
SIGNATURE,SmallCap
SARDAEN,SmallCap
CIEINDIA,SmallCap
BATAINDIA,SmallCap
BLS,SmallCap
SCHNEIDER,SmallCap
IEX,SmallCap
IIFL,SmallCap
NEWGEN,SmallCap
JWL,SmallCap
VGUARD,SmallCap
NEULANDLAB,SmallCap
DOMS,SmallCap
JBMA,SmallCap
ELGIEQUIP,SmallCap
DEEPAKFERT,SmallCap
WHIRLPOOL,SmallCap
AKZOINDIA,SmallCap
JINDALSAW,SmallCap
AARTIIND,SmallCap
JUBLPHARMA,SmallCap
CAPLIPOINT,SmallCap
ANANDRATHI,SmallCap
APTUS,SmallCap
ZENTEC,SmallCap
BLUEDART,SmallCap
CYIENT,SmallCap
KAJARIACER,SmallCap
EIDPARRY,SmallCap
SAILIFE,SmallCap
SWANENERGY,SmallCap
PCBL,SmallCap
TRIDENT,SmallCap
ACE,SmallCap
TBOTEK,SmallCap
HBLENGINE,SmallCap
NIVABUPA,SmallCap
TARIL,SmallCap
ECLERX,SmallCap
AAVAS,SmallCap
KIRLOSBROS,SmallCap
GODREJAGRO,SmallCap
FINCABLES,SmallCap
TEJASNET,SmallCap
BEML,SmallCap
RAINBOW,SmallCap
UTIAMC,SmallCap
CLEAN,SmallCap
CGCL,SmallCap
INDGN,SmallCap
SOBHA,SmallCap
NCC,SmallCap
GRAVITA,SmallCap
TECHNOE,SmallCap
THELEELA,SmallCap
IFCI,SmallCap
LTFOODS,SmallCap
NAVA,SmallCap
BBTC,SmallCap
GESHIP,SmallCap
BLUEJET,SmallCap
SANOFI,SmallCap
INDIAMART,SmallCap
CELLO,SmallCap
ACMESOLAR,SmallCap
RRKABEL,SmallCap
VTL,SmallCap
MGL,SmallCap
FINEORG,SmallCap
JYOTHYLAB,SmallCap
ALIVUS,SmallCap
CUB,SmallCap
WELSPUNLIV,SmallCap
