TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-17,2026-09-17,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15100.00,15100.00,14900.00,14930.00,14930.00,15007.61,,14930.00,,,378,5659867.38,38,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14930.00,14995.00,14925.00,14980.00,14980.00,15016.76,,14980.00,,,152,2274745.06,12,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,14903.00,15000.01,14903.00,14967.66,14945.00,15003.50,,14967.66,,,494,7389250.93,71,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,14906.00,14995.00,14902.00,14991.00,14991.00,14998.00,,14986.50,,,263,3928337.66,38,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14901.80,14955.00,14901.80,14955.00,14955.00,14995.00,,14955.00,,,199,2971551.23,29,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14945.00,15200.00,14915.00,15142.77,14920.00,14964.33,,15134.52,,,206,3083760.66,84,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15005.00,15049.99,14981.01,15000.00,15000.00,15055.00,,15000.00,,,131,1968636.26,13,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,14850.00,14989.99,14804.00,14924.00,14924.00,15000.00,,14924.00,,,37,551628.70,12,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,14940.00,14961.00,14940.00,14961.00,14961.00,14950.00,,14961.00,,,30,448358.00,10,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14999.99,14999.99,14821.00,14949.90,14949.90,14980.00,,14949.90,,,64,954417.80,10,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14826.50,14961.00,14826.50,14900.21,14900.21,14901.00,,14900.21,,,6,89567.71,6,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15000.00,15000.00,15000.00,15000.00,15000.00,15100.00,,15000.00,,,9,135000.00,1,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15100.00,15100.00,15050.00,15050.00,15050.00,15100.00,,15050.00,,,7,105650.00,3,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15000.00,15075.00,14953.00,15048.98,15075.00,15091.66,,15054.10,,,163,2451009.73,46,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15000.00,15000.00,14950.01,14990.40,14990.40,14998.57,,14990.40,,,7,104934.40,5,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,14947.70,14999.99,14900.00,14914.46,14949.00,14964.73,,14914.46,,,51,760692.71,22,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,14860.00,14999.99,14860.00,14999.99,14999.99,15149.99,,15062.50,,,3,44859.98,2,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,14970.00,14970.00,14905.00,14941.61,14950.00,14964.31,,14940.02,,,511,7626263.50,129,F1,1,,,,,
2026-09-17,2026-09-17,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,14946.99,14950.00,14875.00,14940.84,14940.00,14959.67,,14943.30,,,139,2075300.78,28,F1,1,,,,,
