TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-01,2026-09-01,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15250.00,15285.00,15076.00,15141.87,15076.00,15295.69,,15166.91,,,110,1675489.69,35,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15213.75,15349.00,15115.01,15160.50,15120.00,15290.20,,15160.50,,,103,1572089.99,32,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15279.99,15299.96,15070.00,15081.00,15070.00,15286.02,,15085.75,,,716,10887441.03,120,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15201.00,15299.00,15100.00,15106.16,15100.00,15300.00,,15099.32,,,175,2663687.22,43,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15283.00,15299.99,15065.00,15088.33,15065.00,15283.07,,15088.33,,,75,1139005.70,36,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15362.20,15480.00,15131.00,15178.20,15318.00,15362.20,,15198.36,,,172,2633747.39,64,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15399.00,15399.00,15106.00,15106.72,15107.00,15300.00,,15106.11,,,350,5326754.67,71,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15200.00,15300.00,15151.00,15151.00,15151.00,15350.00,,15151.00,,,33,500685.00,12,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15151.51,15280.00,15012.00,15025.83,15012.00,15309.91,,15025.83,,,101,1534230.00,29,F1,1,,,,,
2026-09-01,2026-09-01,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15300.00,15300.00,15050.00,15050.00,15050.00,15300.00,,15050.00,,,10,151333.02,8,F1,1,,,,,
