TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-26,2026-08-26,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15905.00,15948.00,15905.00,15946.89,15946.80,15908.61,,15946.89,,,157,2502235.54,20,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15951.01,15989.00,15922.01,15952.83,15922.01,15950.00,,15952.83,,,26,414743.02,17,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15901.01,16000.00,15900.00,15944.00,15940.00,15976.21,,15944.00,,,298,4752286.86,71,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15925.00,15999.99,15901.00,15904.27,15901.00,15939.64,,15904.27,,,176,2806949.98,26,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15950.00,15979.99,15900.00,15909.29,15900.00,15920.35,,15909.29,,,86,1368930.92,23,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,16102.00,16199.98,16061.00,16076.00,16076.00,16200.00,,16076.00,,,391,6293270.18,42,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15915.00,15990.00,15915.00,15951.42,15950.00,15993.19,,15951.42,,,50,797544.11,23,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15609.75,17611.00,15609.75,16000.00,16000.00,16010.00,,15819.88,,,18,289220.75,3,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15870.25,16080.00,15870.10,15870.10,15870.10,15950.00,,15885.55,,,26,414351.60,6,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15949.80,16289.99,15949.80,16289.99,16289.99,15949.00,,16289.99,,,4,64819.77,2,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15865.01,15987.99,15860.12,15939.94,15939.94,15860.12,,15939.94,,,10,158913.16,6,F1,1,,,,,
2026-08-26,2026-08-26,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15936.92,15999.98,15800.00,15999.98,15999.98,16017.00,,15999.98,,,14,223073.68,7,F1,1,,,,,
