TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-08,2026-09-08,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15116.04,15195.03,15070.00,15070.00,15070.00,15085.70,,15070.00,,,149,2251747.45,34,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15157.00,15246.00,15052.00,15124.99,15124.99,15095.19,,15124.99,,,60,908678.92,24,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15017.56,15224.99,15016.00,15139.28,15180.00,15093.03,,15138.20,,,446,6763741.57,60,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15025.00,15188.00,15025.00,15068.84,15063.00,15090.00,,15074.50,,,43,650755.89,21,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15015.01,15349.00,15015.01,15067.37,15067.37,15079.88,,15067.37,,,52,786679.41,27,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15101.00,15389.00,15012.00,15052.16,15060.00,15037.44,,15046.34,,,126,1904401.67,45,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15151.00,15289.00,15100.33,15118.29,15150.00,15100.33,,15098.00,,,50,757623.33,16,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15150.00,15150.00,15150.00,15150.00,15150.00,15000.00,,15150.00,,,1,15150.00,1,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15100.01,15100.01,15100.01,15100.01,15100.01,15100.90,,15100.01,,,1,15100.01,1,F1,1,,,,,
2026-09-08,2026-09-08,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15000.00,15100.00,15000.00,15056.83,15050.00,15045.45,,15056.83,,,70,1053079.02,17,F1,1,,,,,
