TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-11,2026-09-11,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15044.98,15099.00,15030.00,15030.00,15030.00,15155.28,,15030.00,,,13,195642.96,8,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15000.00,15117.99,15000.00,15038.81,15020.00,15180.00,,15042.27,,,55,827845.99,19,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15000.00,15169.99,14995.00,15071.47,15061.00,15215.21,,15071.47,,,359,5410618.60,48,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15000.00,15139.99,14817.50,15055.62,15051.00,15210.00,,15063.44,,,124,1862666.49,38,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14925.00,15125.00,14925.00,15012.61,15030.00,15217.00,,15012.78,,,563,8452335.88,67,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15099.00,15146.53,14899.99,15043.82,15000.00,15165.03,,15041.71,,,600,8969479.18,86,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,14950.00,15188.00,14950.00,15072.55,15040.00,15201.00,,15087.80,,,85,1275848.95,20,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15100.00,15130.00,15100.00,15130.00,15130.00,15200.00,,15130.00,,,11,166250.00,2,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15300.00,15300.00,15300.00,15300.00,15300.00,15100.01,,15300.00,,,2,30600.00,1,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15025.00,15025.00,15025.00,15025.00,15025.00,15219.99,,15025.00,,,5,75125.00,1,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,14804.00,14999.90,14804.00,14999.90,14999.90,15199.99,,14999.90,,,6,89411.70,3,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15049.99,15119.77,14974.74,15010.28,15005.00,15110.00,,15011.10,,,58,871497.11,20,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14900.00,15056.50,14900.00,15054.75,15056.50,15174.00,,15054.75,,,16,239858.98,7,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15095.00,15095.00,15025.00,15025.00,15025.00,15149.00,,15025.00,,,6,90220.00,3,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15190.00,15190.00,15190.00,15190.00,15190.00,15149.00,,15190.00,,,2,30380.00,1,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15190.00,15197.99,15051.01,15130.83,15175.00,15265.00,,15138.57,,,287,4343903.30,50,F1,1,,,,,
2026-09-11,2026-09-11,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15099.99,15120.00,15000.00,15059.50,15120.00,15232.27,,15059.50,,,154,2318027.25,36,F1,1,,,,,
