TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-03,2026-09-03,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15020.01,15275.00,15020.01,15131.45,15125.00,14850.00,,15131.45,,,98,1485211.57,31,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15295.00,15295.00,15101.00,15176.00,15152.00,14866.96,,15176.00,,,46,697336.17,14,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15000.00,15289.99,15000.00,15136.47,15132.01,14860.91,,15136.47,,,559,8490597.04,108,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15035.01,15200.00,15035.01,15135.00,15135.00,14868.88,,15135.00,,,55,833818.43,24,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15012.01,15175.10,15012.01,15120.00,15120.00,14862.97,,15120.00,,,68,1029618.17,20,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15150.00,15649.00,15150.00,15352.09,15390.00,14891.34,,15352.09,,,117,1796599.04,41,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15000.00,15248.11,15000.00,15158.00,15150.00,14885.57,,15157.03,,,191,2899078.20,38,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15075.25,15150.00,15075.25,15150.00,15150.00,15151.00,,15125.00,,,11,166103.52,4,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15150.00,15150.00,15150.00,15150.00,15150.00,15550.00,,15100.00,,,1,15150.00,1,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15149.99,15149.99,15149.99,15149.99,15149.99,15024.99,,15149.99,,,6,90899.94,4,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15100.00,15239.98,15051.01,15105.26,15089.22,14959.21,,15091.83,,,34,513410.82,23,F1,1,,,,,
2026-09-03,2026-09-03,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15105.00,15299.99,15105.00,15251.00,15251.00,14915.02,,15251.00,,,96,1465910.46,5,F1,1,,,,,
