TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-09,2026-09-09,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14955.11,15222.00,14955.11,15143.33,15150.00,15070.00,,15143.33,,,120,1817718.30,17,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15021.00,15244.00,15021.00,15200.00,15200.00,15124.99,,15200.00,,,77,1169553.02,19,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15180.00,15250.00,15011.00,15199.98,15200.00,15139.28,,15199.08,,,467,7081114.89,103,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15000.00,15190.00,15000.00,15179.50,15187.00,15068.84,,15179.50,,,95,1435910.84,24,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14962.00,15200.01,14961.80,15168.97,15180.00,15067.37,,15168.97,,,75,1134697.92,29,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15052.16,15200.00,14971.01,15100.15,15100.00,15052.16,,15100.15,,,463,7001154.58,88,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15118.29,15251.00,15061.00,15200.00,15200.00,15118.29,,15200.00,,,83,1258624.23,27,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15069.00,15190.00,15069.00,15190.00,15190.00,15069.00,,15190.00,,,26,393730.00,2,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15100.00,15160.00,15050.00,15153.84,15160.00,15056.83,,15153.84,,,191,2891557.91,22,F1,1,,,,,
2026-09-09,2026-09-09,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15424.93,15424.93,15005.00,15199.99,15199.99,15001.00,,15199.99,,,37,561184.26,9,F1,1,,,,,
